time	V(a,b)	I(V4)
0.000000000000000e+000	1.469645e+002	-2.493871e-015
6.578571428578010e-005	1.532409e+002	8.429370e-002
1.315714285715602e-004	1.594138e+002	1.684065e-001
1.973571428573403e-004	1.654831e+002	2.523386e-001
2.631428571431204e-004	1.714488e+002	3.360897e-001
3.289285714289005e-004	1.773110e+002	4.196601e-001
3.947142857146805e-004	1.830697e+002	5.030495e-001
4.605000000004605e-004	1.887248e+002	5.862582e-001
5.403571428576833e-004	1.954363e+002	6.868425e-001
6.202142857149061e-004	2.019564e+002	7.865807e-001
7.000714285721288e-004	2.082851e+002	8.854727e-001
7.799285714293516e-004	2.144224e+002	9.835185e-001
8.597857142865743e-004	2.203684e+002	1.080718e+000
9.396428571437970e-004	2.261230e+002	1.177072e+000
1.019500000001020e-003	2.316862e+002	1.272579e+000
1.020500000001021e-003	2.317543e+002	1.273765e+000
1.166642857144024e-003	2.414163e+002	1.446272e+000
1.312785714287027e-003	2.502854e+002	1.613174e+000
1.458928571430031e-003	2.583617e+002	1.774471e+000
1.605071428573034e-003	2.656453e+002	1.930164e+000
1.751214285716037e-003	2.721361e+002	2.080251e+000
1.897357142859041e-003	2.778341e+002	2.224734e+000
2.043500000002044e-003	2.827393e+002	2.363612e+000
2.044500000002045e-003	2.827695e+002	2.364530e+000
2.143071428573572e-003	2.855609e+002	2.453631e+000
2.241642857145099e-003	2.879513e+002	2.539064e+000
2.340214285716626e-003	2.899408e+002	2.620829e+000
2.438785714288154e-003	2.915294e+002	2.698927e+000
2.537357142859681e-003	2.927172e+002	2.773357e+000
2.635928571431208e-003	2.935040e+002	2.844119e+000
2.734500000002735e-003	2.938899e+002	2.911213e+000
2.749785714288464e-003	2.939126e+002	2.921219e+000
2.765071428574194e-003	2.939256e+002	2.931128e+000
2.780357142859923e-003	2.939289e+002	2.940939e+000
2.795642857145653e-003	2.939224e+002	2.950652e+000
2.810928571431383e-003	2.939061e+002	2.960268e+000
2.826214285717112e-003	2.938800e+002	2.969785e+000
2.841500000002842e-003	2.938442e+002	2.979205e+000
3.068500000003069e-003	2.921654e+002	3.107273e+000
3.214642857146072e-003	2.899181e+002	3.178086e+000
3.360785714289076e-003	2.868221e+002	3.238884e+000
3.506928571432079e-003	2.828775e+002	3.289666e+000
3.653071428575082e-003	2.780841e+002	3.330432e+000
3.799214285718086e-003	2.724420e+002	3.361183e+000
3.945357142861089e-003	2.659513e+002	3.381918e+000
4.091500000004092e-003	2.586118e+002	3.392637e+000
4.092500000004093e-003	2.585591e+002	3.392673e+000
4.238642857147096e-003	2.503935e+002	3.392553e+000
4.384785714290100e-003	2.415413e+002	3.382306e+000
4.530928571433103e-003	2.320026e+002	3.361933e+000
4.677071428576107e-003	2.217774e+002	3.331432e+000
4.823214285719109e-003	2.108656e+002	3.290806e+000
4.969357142862113e-003	1.992673e+002	3.240053e+000
5.115500000005116e-003	1.869824e+002	3.179173e+000
5.116500000005117e-003	1.868969e+002	3.178725e+000
5.179214285719465e-003	1.814738e+002	3.149669e+000
5.241928571433814e-003	1.759570e+002	3.118899e+000
5.304642857148162e-003	1.703467e+002	3.086413e+000
5.367357142862511e-003	1.646429e+002	3.052214e+000
5.430071428576860e-003	1.588454e+002	3.016299e+000
5.492785714291208e-003	1.529544e+002	2.978670e+000
5.555500000005556e-003	1.469698e+002	2.939326e+000
5.619500000005620e-003	1.407768e+002	2.897464e+000
5.683500000005684e-003	1.345111e+002	2.853983e+000
5.747500000005748e-003	1.281726e+002	2.808880e+000
5.811500000005812e-003	1.217615e+002	2.762157e+000
5.875500000005876e-003	1.152776e+002	2.713814e+000
5.939500000005940e-003	1.087211e+002	2.663850e+000
6.003500000006004e-003	1.020918e+002	2.612265e+000
6.140500000006141e-003	8.772639e+001	2.496918e+000
6.286642857149145e-003	7.202384e+001	2.365421e+000
6.432785714292148e-003	5.622346e+001	2.227844e+000
6.578928571435151e-003	4.032527e+001	2.084187e+000
6.725071428578155e-003	2.432926e+001	1.934450e+000
6.871214285721157e-003	8.235436e+000	1.778633e+000
7.017357142864162e-003	-7.956207e+000	1.616737e+000
7.163500000007164e-003	-2.424567e+001	1.448760e+000
7.164500000007165e-003	-2.435609e+001	1.447603e+000
7.300785714293016e-003	-3.946363e+001	1.286938e+000
7.437071428578867e-003	-5.437024e+001	1.123970e+000
7.573357142864717e-003	-6.907591e+001	9.586982e-001
7.709642857150568e-003	-8.358064e+001	7.911236e-001
7.845928571436418e-003	-9.788444e+001	6.212458e-001
7.982214285722268e-003	-1.119873e+002	4.490648e-001
8.118500000008119e-003	-1.258892e+002	2.745805e-001
8.188500000008189e-003	-1.328537e+002	1.852233e-001
8.209357142865354e-003	-1.349115e+002	1.585666e-001
8.230214285722516e-003	-1.369607e+002	1.319043e-001
8.251071428579681e-003	-1.390011e+002	1.052362e-001
8.271928571436844e-003	-1.410330e+002	7.856251e-002
8.292785714294008e-003	-1.430561e+002	5.188310e-002
8.313642857151171e-003	-1.450706e+002	2.519801e-002
8.334500000008335e-003	-1.470765e+002	-1.492759e-003
8.405928571436978e-003	-1.538869e+002	-9.303960e-002
8.477357142865622e-003	-1.605738e+002	-1.843539e-001
8.548785714294264e-003	-1.671374e+002	-2.754358e-001
8.620214285722906e-003	-1.735775e+002	-3.662852e-001
8.691642857151551e-003	-1.798941e+002	-4.569021e-001
8.763071428580193e-003	-1.860873e+002	-5.472865e-001
8.834500000008835e-003	-1.921571e+002	-6.374384e-001
8.888357142866033e-003	-1.966375e+002	-7.050555e-001
8.942214285723229e-003	-2.010324e+002	-7.723131e-001
8.996071428580426e-003	-2.053418e+002	-8.392111e-001
9.049928571437622e-003	-2.095658e+002	-9.057497e-001
9.103785714294819e-003	-2.137042e+002	-9.719287e-001
9.157642857152017e-003	-2.177572e+002	-1.037748e+000
9.211500000009212e-003	-2.217247e+002	-1.103208e+000
9.212500000009213e-003	-2.217974e+002	-1.104418e+000
9.358642857152216e-003	-2.321456e+002	-1.280710e+000
9.504785714295220e-003	-2.417236e+002	-1.451862e+000
9.650928571438223e-003	-2.505313e+002	-1.617876e+000
9.797071428581227e-003	-2.585688e+002	-1.778751e+000
9.943214285724230e-003	-2.658361e+002	-1.934487e+000
1.008935714286723e-002	-2.723332e+002	-2.085084e+000
1.023550000001024e-002	-2.780600e+002	-2.230542e+000
1.023650000001024e-002	-2.780959e+002	-2.231506e+000
1.034878571429606e-002	-2.818852e+002	-2.338152e+000
1.046107142858189e-002	-2.851575e+002	-2.440176e+000
1.057335714286772e-002	-2.879129e+002	-2.537578e+000
1.068564285715355e-002	-2.901514e+002	-2.630359e+000
1.079792857143937e-002	-2.918729e+002	-2.718518e+000
1.091021428572520e-002	-2.930774e+002	-2.802055e+000
1.102250000001102e-002	-2.937650e+002	-2.880971e+000
1.103678571429675e-002	-2.938136e+002	-2.890593e+000
1.105107142858248e-002	-2.938537e+002	-2.900131e+000
1.106535714286821e-002	-2.938853e+002	-2.909583e+000
1.107964285715394e-002	-2.939083e+002	-2.918952e+000
1.109392857143967e-002	-2.939228e+002	-2.928235e+000
1.110821428572540e-002	-2.939288e+002	-2.937435e+000
1.112250000001112e-002	-2.939263e+002	-2.946549e+000
1.126050000001126e-002	-2.934630e+002	-3.030152e+000
1.138578571429710e-002	-2.923392e+002	-3.099240e+000
1.151107142858294e-002	-2.905774e+002	-3.161118e+000
1.163635714286878e-002	-2.881776e+002	-3.215785e+000
1.176164285715462e-002	-2.851398e+002	-3.263243e+000
1.188692857144046e-002	-2.814640e+002	-3.303491e+000
1.201221428572630e-002	-2.771502e+002	-3.336529e+000
1.213750000001214e-002	-2.721983e+002	-3.362356e+000
1.228450000001229e-002	-2.656369e+002	-3.382806e+000
1.243064285715529e-002	-2.582350e+002	-3.392717e+000
1.257678571429829e-002	-2.501174e+002	-3.392427e+000
1.272292857144130e-002	-2.412842e+002	-3.381935e+000
1.286907142858430e-002	-2.317353e+002	-3.361241e+000
1.301521428572730e-002	-2.214708e+002	-3.330344e+000
1.316135714287031e-002	-2.104906e+002	-3.289247e+000
1.330750000001331e-002	-1.987948e+002	-3.237947e+000
1.330850000001331e-002	-1.987132e+002	-3.237563e+000
1.339007142858482e-002	-1.919431e+002	-3.204620e+000
1.347164285715633e-002	-1.850083e+002	-3.168739e+000
1.355321428572784e-002	-1.779088e+002	-3.129922e+000
1.363478571429935e-002	-1.706447e+002	-3.088167e+000
1.371635714287086e-002	-1.632160e+002	-3.043474e+000
1.379792857144237e-002	-1.556226e+002	-2.995845e+000
1.387950000001388e-002	-1.478646e+002	-2.945278e+000
1.389507142858533e-002	-1.463707e+002	-2.935326e+000
1.391064285715677e-002	-1.448719e+002	-2.925273e+000
1.392621428572821e-002	-1.433682e+002	-2.915121e+000
1.394178571429966e-002	-1.418595e+002	-2.904867e+000
1.395735714287110e-002	-1.403460e+002	-2.894514e+000
1.397292857144255e-002	-1.388275e+002	-2.884060e+000
1.398850000001399e-002	-1.373042e+002	-2.873506e+000
1.433250000001433e-002	-1.025420e+002	-2.615801e+000
1.447864285715734e-002	-8.709719e+001	-2.491674e+000
1.462478571430034e-002	-7.150766e+001	-2.361034e+000
1.477092857144334e-002	-5.577340e+001	-2.223883e+000
1.491707142858635e-002	-3.989439e+001	-2.080220e+000
1.506321428572935e-002	-2.387065e+001	-1.930046e+000
1.520935714287235e-002	-7.702162e+000	-1.773359e+000
1.535550000001536e-002	8.611061e+000	-1.610161e+000
1.535650000001536e-002	8.721817e+000	-1.609034e+000
1.550264285715836e-002	2.500735e+001	-1.440693e+000
1.564878571430136e-002	4.109670e+001	-1.269308e+000
1.579492857144437e-002	5.698985e+001	-1.094878e+000
1.594107142858737e-002	7.268681e+001	-9.174040e-001
1.608721428573038e-002	8.818757e+001	-7.368854e-001
1.623335714287338e-002	1.034921e+002	-5.533222e-001
1.637950000001638e-002	1.186005e+002	-3.667147e-001
1.638050000001638e-002	1.187019e+002	-3.654427e-001
1.666650000001667e-002	1.469485e+002	-2.132513e-004
1.672664285715959e-002	1.526891e+002	7.683209e-002
1.678678571430250e-002	1.583440e+002	1.537393e-001
1.684692857144542e-002	1.639133e+002	2.305084e-001
1.690707142858834e-002	1.693969e+002	3.071394e-001
1.696721428573126e-002	1.747949e+002	3.836322e-001
1.702735714287417e-002	1.801073e+002	4.599869e-001
1.708750000001709e-002	1.853341e+002	5.362035e-001
1.740450000001741e-002	2.112109e+002	9.319366e-001
1.755064285716041e-002	2.222161e+002	1.111512e+000
1.769678571430341e-002	2.324757e+002	1.286429e+000
1.784292857144642e-002	2.419898e+002	1.456688e+000
1.798907142858942e-002	2.507585e+002	1.622289e+000
1.813521428573242e-002	2.587817e+002	1.783232e+000
1.828135714287543e-002	2.660593e+002	1.939516e+000
1.842750000001843e-002	2.725915e+002	2.091142e+000
1.842850000001843e-002	2.726330e+002	2.092149e+000
1.855292857144713e-002	2.775018e+002	2.215768e+000
1.867735714287582e-002	2.817408e+002	2.333899e+000
1.880178571430452e-002	2.853502e+002	2.446541e+000
1.892621428573322e-002	2.883298e+002	2.553694e+000
1.905064285716191e-002	2.906797e+002	2.655358e+000
1.917507142859061e-002	2.923999e+002	2.751533e+000
1.929950000001930e-002	2.934903e+002	2.842220e+000
1.944450000001945e-002	2.939290e+002	2.939326e+000
1.945250000001945e-002	2.939277e+002	2.944430e+000
1.953292857144811e-002	2.937636e+002	2.994351e+000
1.961335714287676e-002	2.933311e+002	3.041418e+000
1.969378571430541e-002	2.926303e+002	3.085632e+000
1.977421428573406e-002	2.916612e+002	3.126994e+000
1.985464285716272e-002	2.904238e+002	3.165502e+000
1.993507142859137e-002	2.889181e+002	3.201157e+000
2.001550000002002e-002	2.871440e+002	3.233959e+000
2.008121428573437e-002	2.854973e+002	3.258509e+000
2.014692857144872e-002	2.836785e+002	3.281028e+000
2.021264285716307e-002	2.816875e+002	3.301517e+000
2.027835714287742e-002	2.795245e+002	3.319975e+000
2.034407142859178e-002	2.771894e+002	3.336402e+000
2.040978571430612e-002	2.746821e+002	3.350799e+000
2.047550000002048e-002	2.720028e+002	3.363165e+000
2.047650000002048e-002	2.719608e+002	3.363337e+000
2.062264285716348e-002	2.653435e+002	3.383252e+000
2.076878571430648e-002	2.579836e+002	3.392919e+000
2.091492857144949e-002	2.498809e+002	3.392338e+000
2.106107142859249e-002	2.410355e+002	3.381508e+000
2.120721428573550e-002	2.314474e+002	3.360431e+000
2.135335714287850e-002	2.211166e+002	3.329105e+000
2.149950000002150e-002	2.100430e+002	3.287530e+000
2.150050000002150e-002	2.099655e+002	3.287212e+000
2.159792857145017e-002	2.022424e+002	3.253828e+000
2.169535714287884e-002	1.942744e+002	3.216199e+000
2.179278571430751e-002	1.860614e+002	3.174324e+000
2.189021428573618e-002	1.776034e+002	3.128204e+000
2.198764285716485e-002	1.689005e+002	3.077839e+000
2.208507142859352e-002	1.599526e+002	3.023228e+000
2.218250000002218e-002	1.507598e+002	2.964372e+000
2.219721428573649e-002	1.493577e+002	2.955157e+000
2.221192857145079e-002	1.479511e+002	2.945853e+000
2.222664285716509e-002	1.465400e+002	2.936458e+000
2.224135714287939e-002	1.451245e+002	2.926972e+000
2.225607142859369e-002	1.437045e+002	2.917397e+000
2.227078571430799e-002	1.422799e+002	2.907731e+000
2.228550000002229e-002	1.408509e+002	2.897975e+000
2.252450000002253e-002	1.170665e+002	2.727261e+000
2.267064285716553e-002	1.019233e+002	2.610855e+000
2.281678571430853e-002	8.658890e+001	2.487524e+000
2.296292857145154e-002	7.106322e+001	2.357268e+000
2.310907142859454e-002	5.534628e+001	2.220087e+000
2.325521428573754e-002	3.943809e+001	2.075980e+000
2.340135714288055e-002	2.333866e+001	1.924949e+000
2.354750000002355e-002	7.047981e+000	1.766992e+000
2.354850000002355e-002	6.937210e+000	1.765899e+000
2.369464285716656e-002	-9.375812e+000	1.602299e+000
